0	C-1	C-2	8.175798915643707
1	C#-1	C#-2	8.661957218027252
2	D-1	D-2	9.177023997418988
3	D#-1	D#-2	9.722718241315029
4	E-1	E-2	10.300861153527183
5	F-1	F-2	10.913382232281373
6	F#-1	F#-2	11.562325709738575
7	G-1	G-2	12.249857374429663
8	G#-1	G#-2	12.978271799373287
9	A-1	A-2	13.75
10	A#-1	A#-2	14.567617547440307
11	B-1	B-2	15.433853164253883
12	C0	C-1	16.351597831287414
13	C#0	C#-1	17.323914436054505
14	D0	D-1	18.354047994837977
15	D#0	D#-1	19.445436482630058
16	E0	E-1	20.601722307054366
17	F0	F-1	21.826764464562746
18	F#0	F#-1	23.12465141947715
19	G0	G-1	24.499714748859326
20	G#0	G#-1	25.956543598746574
21	A0	A-1	27.5
22	A#0	A#-1	29.13523509488062
23	B0	B-1	30.86770632850775
24	C1	C0	32.70319566257483
25	C#1	C#0	34.64782887210901
26	D1	D0	36.70809598967594
27	D#1	D#0	38.890872965260115
28	E1	E0	41.20344461410875
29	F1	F0	43.653528929125486
30	F#1	F#0	46.2493028389543
31	G1	G0	48.999429497718666
32	G#1	G#0	51.91308719749314
33	A1	A0	55
34	A#1	A#0	58.27047018976124
35	B1	B0	61.7354126570155
36	C2	C1	65.40639132514966
37	C#2	C#1	69.29565774421802
38	D2	D1	73.41619197935188
39	D#2	D#1	77.78174593052023
40	E2	E1	82.4068892282175
41	F2	F1	87.30705785825097
42	F#2	F#1	92.4986056779086
43	G2	G1	97.99885899543733
44	G#2	G#1	103.82617439498628
45	A2	A1	110
46	A#2	A#1	116.54094037952248
47	B2	B1	123.47082531403103
48	C3	C2	130.8127826502993
49	C#3	C#2	138.59131548843604
50	D3	D2	146.8323839587038
51	D#3	D#2	155.56349186104046
52	E3	E2	164.81377845643496
53	F3	F2	174.61411571650194
54	F#3	F#2	184.9972113558172
55	G3	G2	195.99771799087463
56	G#3	G#2	207.65234878997256
57	A3	A2	220
58	A#3	A#2	233.08188075904496
59	B3	B2	246.94165062806206
60	C4	C3	261.6255653005986
61	C#4	C#3	277.1826309768721
62	D4	D3	293.6647679174076
63	D#4	D#3	311.12698372208087
64	E4	E3	329.6275569128699
65	F4	F3	349.2282314330039
66	F#4	F#3	369.9944227116344
67	G4	G3	391.99543598174927
68	G#4	G#3	415.3046975799451
69	A4	A3	440
70	A#4	A#3	466.1637615180899
71	B4	B3	493.8833012561241
72	C5	C4	523.2511306011972
73	C#5	C#4	554.3652619537442
74	D5	D4	587.3295358348151
75	D#5	D#4	622.2539674441618
76	E5	E4	659.2551138257398
77	F5	F4	698.4564628660078
78	F#5	F#4	739.9888454232688
79	G5	G4	783.9908719634985
80	G#5	G#4	830.6093951598903
81	A5	A4	880
82	A#5	A#4	932.3275230361799
83	B5	B4	987.7666025122483
84	C6	C5	1046.5022612023945
85	C#6	C#5	1108.7305239074883
86	D6	D5	1174.6590716696303
87	D#6	D#5	1244.5079348883237
88	E6	E5	1318.5102276514797
89	F6	F5	1396.9129257320155
90	F#6	F#5	1479.9776908465376
91	G6	G5	1567.981743926997
92	G#6	G#5	1661.2187903197805
93	A6	A5	1760
94	A#6	A#5	1864.6550460723597
95	B6	B5	1975.533205024496
96	C7	C6	2093.004522404789
97	C#7	C#6	2217.4610478149766
98	D7	D6	2349.31814333926
99	D#7	D#6	2489.0158697766474
100	E7	E6	2637.02045530296
101	F7	F6	2793.825851464031
102	F#7	F#6	2959.955381693075
103	G7	G6	3135.9634878539946
104	G#7	G#6	3322.437580639561
105	A7	A6	3520
106	A#7	A#6	3729.3100921447194
107	B7	B6	3951.066410048992
108	C8	C7	4186.009044809578
109	C#8	C#7	4434.922095629953
110	D8	D7	4698.63628667852
111	D#8	D#7	4978.031739553295
112	E8	E7	5274.04091060592
113	F8	F7	5587.651702928062
114	F#8	F#7	5919.91076338615
115	G8	G7	6271.926975707989
116	G#8	G#7	6644.875161279122
117	A8	A7	7040
118	A#8	A#7	7458.620184289437
119	B8	B7	7902.132820097988
120	C9	C8	8372.018089619156
121	C#9	C#8	8869.844191259906
122	D9	D8	9397.272573357044
123	D#9	D#8	9956.06347910659
124	E9	E8	10548.081821211836
125	F9	F8	11175.303405856126
126	F#9	F#8	11839.8215267723
127	G9	G8	12543.853951415975
